# i   j          x          y        u_x        u_y        |u|
#-------------------------------------------------------------
 24  92  1.200e+00  4.600e+00 -1.145e-12  1.132e-11  1.138e-11
 24  96  1.200e+00  4.800e+00  1.339e-12  1.051e-11  1.060e-11
 24 100  1.200e+00  5.000e+00  3.408e-12  9.330e-12  9.933e-12
 24 104  1.200e+00  5.200e+00  5.075e-12  7.849e-12  9.347e-12
 24 108  1.200e+00  5.400e+00  6.358e-12  6.141e-12  8.839e-12
 24 112  1.200e+00  5.600e+00  7.273e-12  4.269e-12  8.433e-12
 24 116  1.200e+00  5.800e+00  7.833e-12  2.290e-12  8.161e-12
 24 120  1.200e+00  6.000e+00  8.047e-12  0.000e+00  8.047e-12

 28   0  1.400e+00  0.000e+00 -0.000e+00 -1.101e-10  1.101e-10
 28   4  1.400e+00  2.000e-01 -7.022e-12 -1.094e-10  1.097e-10
 28   8  1.400e+00  4.000e-01 -1.401e-11 -1.077e-10  1.086e-10
 28  12  1.400e+00  6.000e-01 -2.090e-11 -1.047e-10  1.068e-10
 28  16  1.400e+00  8.000e-01 -2.762e-11 -1.004e-10  1.042e-10
 28  20  1.400e+00  1.000e+00 -3.400e-11 -9.490e-11  1.008e-10
 28  24  1.400e+00  1.200e+00 -3.987e-11 -8.806e-11  9.666e-11
 28  28  1.400e+00  1.400e+00 -4.497e-11 -7.997e-11  9.175e-11
 28  32  1.400e+00  1.600e+00 -4.906e-11 -7.079e-11  8.612e-11
 28  36  1.400e+00  1.800e+00 -5.188e-11 -6.075e-11  7.988e-11
 28  40  1.400e+00  2.000e+00 -5.325e-11 -5.018e-11  7.317e-11
 28  44  1.400e+00  2.200e+00 -5.308e-11 -3.950e-11  6.617e-11
 28  48  1.400e+00  2.400e+00 -5.140e-11 -2.912e-11  5.908e-11
 28  52  1.400e+00  2.600e+00 -4.836e-11 -1.943e-11  5.212e-11
 28  56  1.400e+00  2.800e+00 -4.420e-11 -1.075e-11  4.549e-11
 28  60  1.400e+00  3.000e+00 -3.923e-11 -3.300e-12  3.937e-11
 28  64  1.400e+00  3.200e+00 -3.376e-11  2.822e-12  3.388e-11
 28  68  1.400e+00  3.400e+00 -2.810e-11  7.604e-12  2.912e-11
 28  72  1.400e+00  3.600e+00 -2.250e-11  1.111e-11  2.510e-11
 28  76  1.400e+00  3.800e+00 -1.715e-11  1.347e-11  2.181e-11
 28  80  1.400e+00  4.000e+00 -1.220e-11  1.481e-11  1.918e-11
 28  84  1.400e+00  4.200e+00 -7.715e-12  1.529e-11  1.713e-11
 28  88  1.400e+00  4.400e+00 -3.755e-12  1.506e-11  1.552e-11
 28  92  1.400e+00  4.600e+00 -3.293e-13  1.425e-11  1.425e-11
 28  96  1.400e+00  4.800e+00  2.571e-12  1.297e-11  1.323e-11
 28 100  1.400e+00  5.000e+00  4.967e-12  1.134e-11  1.238e-11
 28 104  1.400e+00  5.200e+00  6.885e-12  9.431e-12  1.168e-11
 28 108  1.400e+00  5.400e+00  8.352e-12  7.316e-12  1.110e-11
 28 112  1.400e+00  5.600e+00  9.393e-12  5.056e-12  1.067e-11
 28 116  1.400e+00  5.800e+00  1.003e-11  2.703e-12  1.039e-11
 28 120  1.400e+00  6.000e+00  1.027e-11  0.000e+00  1.027e-11

 32   0  1.600e+00  0.000e+00 -0.000e+00 -1.177e-10  1.177e-10
 32   4  1.600e+00  2.000e-01 -8.203e-12 -1.170e-10  1.173e-10
 32   8  1.600e+00  4.000e-01 -1.641e-11 -1.152e-10  1.164e-10
 32  12  1.600e+00  6.000e-01 -2.459e-11 -1.122e-10  1.148e-10
 32  16  1.600e+00  8.000e-01 -3.266e-11 -1.077e-10  1.125e-10
 32  20  1.600e+00  1.000e+00 -4.046e-11 -1.018e-10  1.095e-10
 32  24  1.600e+00  1.200e+00 -4.774e-11 -9.425e-11  1.057e-10
 32  28  1.600e+00  1.400e+00 -5.419e-11 -8.521e-11  1.010e-10
 32  32  1.600e+00  1.600e+00 -5.941e-11 -7.475e-11  9.548e-11
 32  36  1.600e+00  1.800e+00 -6.304e-11 -6.315e-11  8.923e-11
 32  40  1.600e+00  2.000e+00 -6.480e-11 -5.086e-11  8.237e-11
 32  44  1.600e+00  2.200e+00 -6.452e-11 -3.840e-11  7.508e-11
 32  48  1.600e+00  2.400e+00 -6.225e-11 -2.634e-11  6.759e-11
 32  52  1.600e+00  2.600e+00 -5.820e-11 -1.523e-11  6.016e-11
 32  56  1.600e+00  2.800e+00 -5.273e-11 -5.467e-12  5.301e-11
 32  60  1.600e+00  3.000e+00 -4.628e-11  2.690e-12  4.636e-11
 32  64  1.600e+00  3.200e+00 -3.930e-11  9.148e-12  4.035e-11
 32  68  1.600e+00  3.400e+00 -3.218e-11  1.395e-11  3.507e-11
 32  72  1.600e+00  3.600e+00 -2.526e-11  1.722e-11  3.057e-11
 32  76  1.600e+00  3.800e+00 -1.875e-11  1.916e-11  2.681e-11
 32  80  1.600e+00  4.000e+00 -1.281e-11  1.998e-11  2.373e-11
 32  84  1.600e+00  4.200e+00 -7.529e-12  1.987e-11  2.125e-11
 32  88  1.600e+00  4.400e+00 -2.922e-12  1.904e-11  1.926e-11
 32  92  1.600e+00  4.600e+00  1.014e-12  1.764e-11  1.766e-11
 32  96  1.600e+00  4.800e+00  4.309e-12  1.579e-11  1.637e-11
 32 100  1.600e+00  5.000e+00  7.004e-12  1.363e-11  1.532e-11
 32 104  1.600e+00  5.200e+00  9.144e-12  1.122e-11  1.447e-11
 32 108  1.600e+00  5.400e+00  1.077e-11  8.636e-12  1.380e-11
 32 112  1.600e+00  5.600e+00  1.192e-11  5.936e-12  1.332e-11
 32 116  1.600e+00  5.800e+00  1.262e-11  3.163e-12  1.301e-11
 32 120  1.600e+00  6.000e+00  1.288e-11  0.000e+00  1.288e-11

 36   0  1.800e+00  0.000e+00 -0.000e+00 -1.265e-10  1.265e-10
 36   4  1.800e+00  2.000e-01 -9.377e-12 -1.258e-10  1.262e-10
 36   8  1.800e+00  4.000e-01 -1.882e-11 -1.241e-10  1.255e-10
 36  12  1.800e+00  6.000e-01 -2.837e-11 -1.210e-10  1.243e-10
 36  16  1.800e+00  8.000e-01 -3.795e-11 -1.164e-10  1.225e-10
 36  20  1.800e+00  1.000e+00 -4.742e-11 -1.102e-10  1.199e-10
 36  24  1.800e+00  1.200e+00 -5.646e-11 -1.020e-10  1.166e-10
 36  28  1.800e+00  1.400e+00 -6.462e-11 -9.188e-11  1.123e-10
 36  32  1.800e+00  1.600e+00 -7.136e-11 -7.986e-11  1.071e-10
 36  36  1.800e+00  1.800e+00 -7.611e-11 -6.628e-11  1.009e-10
 36  40  1.800e+00  2.000e+00 -7.840e-11 -5.170e-11  9.392e-11
 36  44  1.800e+00  2.200e+00 -7.799e-11 -3.687e-11  8.627e-11
 36  48  1.800e+00  2.400e+00 -7.490e-11 -2.261e-11  7.824e-11
 36  52  1.800e+00  2.600e+00 -6.947e-11 -9.653e-12  7.014e-11
 36  56  1.800e+00  2.800e+00 -6.224e-11  1.450e-12  6.226e-11
 36  60  1.800e+00  3.000e+00 -5.386e-11  1.040e-11  5.485e-11
 36  64  1.800e+00  3.200e+00 -4.495e-11  1.715e-11  4.811e-11
 36  68  1.800e+00  3.400e+00 -3.606e-11  2.182e-11  4.215e-11
 36  72  1.800e+00  3.600e+00 -2.757e-11  2.466e-11  3.700e-11
 36  76  1.800e+00  3.800e+00 -1.976e-11  2.598e-11  3.264e-11
 36  80  1.800e+00  4.000e+00 -1.277e-11  2.606e-11  2.902e-11
 36  84  1.800e+00  4.200e+00 -6.658e-12  2.519e-11  2.605e-11
 36  88  1.800e+00  4.400e+00 -1.415e-12  2.359e-11  2.363e-11
 36  92  1.800e+00  4.600e+00  3.000e-12  2.146e-11  2.166e-11
 36  96  1.800e+00  4.800e+00  6.647e-12  1.894e-11  2.007e-11
 36 100  1.800e+00  5.000e+00  9.597e-12  1.615e-11  1.879e-11
 36 104  1.800e+00  5.200e+00  1.192e-11  1.317e-11  1.776e-11
 36 108  1.800e+00  5.400e+00  1.367e-11  1.007e-11  1.698e-11
 36 112  1.800e+00  5.600e+00  1.489e-11  6.889e-12  1.641e-11
 36 116  1.800e+00  5.800e+00  1.564e-11  3.660e-12  1.606e-11
 36 120  1.800e+00  6.000e+00  1.592e-11  0.000e+00  1.592e-11

 40   0  2.000e+00  0.000e+00 -0.000e+00 -1.364e-10  1.364e-10
 40   4  2.000e+00  2.000e-01 -1.048e-11 -1.358e-10  1.362e-10
 40   8  2.000e+00  4.000e-01 -2.113e-11 -1.342e-10  1.359e-10
 40  12  2.000e+00  6.000e-01 -3.208e-11 -1.314e-10  1.352e-10
 40  16  2.000e+00  8.000e-01 -4.335e-11 -1.269e-10  1.341e-10
 40  20  2.000e+00  1.000e+00 -5.479e-11 -1.205e-10  1.324e-10
 40  24  2.000e+00  1.200e+00 -6.603e-11 -1.118e-10  1.298e-10
 40  28  2.000e+00  1.400e+00 -7.647e-11 -1.005e-10  1.263e-10
 40  32  2.000e+00  1.600e+00 -8.531e-11 -8.658e-11  1.215e-10
 40  36  2.000e+00  1.800e+00 -9.167e-11 -7.044e-11  1.156e-10
 40  40  2.000e+00  2.000e+00 -9.477e-11 -5.281e-11  1.085e-10
 40  44  2.000e+00  2.200e+00 -9.417e-11 -3.477e-11  1.004e-10
 40  48  2.000e+00  2.400e+00 -8.993e-11 -1.754e-11  9.162e-11
 40  52  2.000e+00  2.600e+00 -8.255e-11 -2.179e-12  8.258e-11
 40  56  2.000e+00  2.800e+00 -7.290e-11  1.056e-11  7.366e-11
 40  60  2.000e+00  3.000e+00 -6.194e-11  2.035e-11  6.520e-11
 40  64  2.000e+00  3.200e+00 -5.057e-11  2.724e-11  5.744e-11
 40  68  2.000e+00  3.400e+00 -3.950e-11  3.153e-11  5.054e-11
 40  72  2.000e+00  3.600e+00 -2.920e-11  3.364e-11  4.455e-11
 40  76  2.000e+00  3.800e+00 -1.995e-11  3.402e-11  3.944e-11
 40  80  2.000e+00  4.000e+00 -1.185e-11  3.310e-11  3.515e-11
 40  84  2.000e+00  4.200e+00 -4.911e-12  3.122e-11  3.160e-11
 40  88  2.000e+00  4.400e+00  9.245e-13  2.866e-11  2.868e-11
 40  92  2.000e+00  4.600e+00  5.753e-12  2.566e-11  2.629e-11
 40  96  2.000e+00  4.800e+00  9.683e-12  2.235e-11  2.436e-11
